,Country,Year,Happiness_score,GDP_capita,Social_support,Life_expectancy,Freedom,Generosity,Corruption_perception
118,Gambia,2023,4.279,0.761,0.614,0.174,0.286,0.332,0.033
119,Mali,2023,4.198,0.763,0.637,0.106,0.441,0.121,0.059
120,Egypt,2023,4.17,1.377,0.972,0.326,0.467,0.038,0.25
121,Togo,2023,4.137,0.77,0.642,0.161,0.367,0.149,0.136
122,Jordan,2023,4.12,1.292,0.98,0.438,0.517,0.056,0.173
123,Ethiopia,2023,4.091,0.793,1.114,0.25,0.451,0.283,0.101
124,Liberia,2023,4.042,0.628,0.644,0.141,0.471,0.219,0.071
125,India,2023,4.036,1.159,0.674,0.252,0.685,0.175,0.111
126,Madagascar,2023,4.019,0.632,0.779,0.178,0.187,0.177,0.134
127,Zambia,2023,3.982,0.914,0.89,0.095,0.545,0.189,0.08
128,Tanzania,2023,3.694,0.836,0.787,0.214,0.607,0.234,0.269
129,Comoros,2023,3.545,0.914,0.327,0.215,0.117,0.129,0.145
130,Malawi,2023,3.495,0.637,0.479,0.189,0.49,0.139,0.129
131,Botswana,2023,3.435,1.471,1.041,0.087,0.48,0.021,0.071
132,Congo (Kinshasa),2023,3.207,0.531,0.784,0.105,0.375,0.183,0.068
133,Zimbabwe,2023,3.204,0.758,0.881,0.069,0.363,0.112,0.117
134,Sierra Leone,2023,3.138,0.67,0.54,0.092,0.371,0.193,0.051
135,Lebanon,2023,2.392,1.417,0.476,0.398,0.123,0.061,0.027
136,Afghanistan,2023,1.859,0.645,0.0,0.087,0.0,0.093,0.059
